               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12078,            0.017332,            0.030356,           0.0072426,             0.43333,           0.0062347,           0.0011673,            0.086432,            0.010992,            0.017849,              0.0001,              0.0001,              0.0991
                   1,             0.12622,            0.016773,            0.029551,           0.0058406,             0.43333,           0.0062233,           0.0014575,            0.085221,            0.011129,            0.017782,          0.00029941,          0.00029941,            0.097299
                   2,               0.114,            0.019925,            0.031853,           0.0052833,             0.26667,           0.0052886,            0.001261,            0.084136,            0.011249,            0.017684,          0.00049802,          0.00049802,            0.095498
                   3,             0.11282,            0.018311,            0.030392,            0.007419,                 0.7,           0.0073844,           0.0013834,             0.08205,            0.011199,            0.017444,          0.00069584,          0.00069584,            0.093696
                   4,             0.10337,            0.019396,            0.036305,            0.013923,                 0.2,             0.01449,           0.0025659,             0.07559,            0.012005,            0.017436,          0.00089287,          0.00089287,            0.091893
                   5,             0.08892,            0.019111,            0.031272,            0.029971,             0.46667,            0.027675,           0.0042634,            0.065939,            0.012851,            0.016897,           0.0010891,           0.0010891,            0.090089
                   6,            0.082304,            0.023342,            0.029551,            0.038005,             0.16667,            0.043035,           0.0057103,            0.053547,            0.013663,            0.016476,           0.0012846,           0.0012846,            0.088285
                   7,            0.078425,            0.022352,             0.03395,            0.075584,                 0.9,            0.092688,            0.017846,            0.038509,            0.014557,            0.016171,           0.0014792,           0.0014792,            0.086479
                   8,            0.080184,             0.02277,            0.035779,            0.079673,             0.79269,            0.089331,            0.021153,            0.034275,            0.014649,            0.016134,           0.0016731,           0.0016731,            0.084673
                   9,            0.079116,            0.022946,            0.024967,             0.10123,                 0.9,             0.11757,            0.037624,            0.032732,            0.014583,            0.015932,           0.0018661,           0.0018661,            0.082866
                  10,             0.08228,            0.023953,            0.030138,              0.1362,             0.53333,             0.16161,            0.065631,            0.032773,            0.014369,            0.015879,           0.0020584,           0.0020584,            0.081058
                  11,            0.080655,            0.022642,             0.03048,             0.23594,             0.53333,             0.22351,             0.08787,            0.034228,            0.014072,            0.016037,           0.0022499,           0.0022499,             0.07925
                  12,            0.056687,            0.022953,            0.024054,             0.29233,             0.53333,             0.27796,             0.12948,            0.033807,            0.013692,            0.016212,           0.0024406,           0.0024406,            0.077441
                  13,            0.061575,            0.021961,            0.030297,             0.43309,             0.36667,             0.36613,             0.22368,            0.029931,            0.013824,            0.016196,           0.0026305,           0.0026305,            0.075631
                  14,            0.065871,             0.02596,            0.025374,             0.35085,             0.79903,             0.39752,             0.20663,            0.028378,            0.013669,            0.016237,           0.0028196,           0.0028196,             0.07382
                  15,            0.066474,            0.024352,            0.026545,             0.31011,             0.89108,             0.39817,             0.18665,            0.030288,            0.013161,            0.016395,           0.0030079,           0.0030079,            0.072008
                  16,            0.063906,            0.023939,             0.02283,             0.27457,                 0.9,             0.32433,             0.15221,            0.029498,            0.013046,            0.016587,           0.0031955,           0.0031955,            0.070195
                  17,            0.068086,             0.02378,            0.027445,              0.3642,              0.6504,             0.42571,             0.22867,            0.026525,            0.012991,            0.016705,           0.0033822,           0.0033822,            0.068382
                  18,            0.051628,            0.024711,            0.022667,             0.42925,                 0.8,             0.43507,             0.25967,            0.025981,            0.012662,            0.016849,           0.0035681,           0.0035681,            0.066568
                  19,            0.065606,            0.026167,            0.025205,             0.41986,             0.89674,             0.47875,             0.23475,            0.026096,            0.012372,            0.017163,           0.0037533,           0.0037533,            0.064753
                  20,            0.061935,             0.02189,            0.026548,              0.2781,             0.79667,             0.41946,              0.1901,            0.033878,            0.011854,             0.01793,           0.0039376,           0.0039376,            0.062938
                  21,            0.071984,            0.020615,            0.024944,             0.31553,                 0.8,              0.5056,             0.22785,            0.038214,            0.011719,            0.017891,           0.0041212,           0.0041212,            0.061121
                  22,            0.071042,            0.022185,             0.02867,              0.3666,             0.89769,             0.60521,             0.31497,               0.027,            0.012219,              0.0178,            0.004304,            0.004304,            0.059304
                  23,            0.059526,            0.019273,            0.028113,             0.46828,             0.79392,             0.47368,             0.24942,            0.038879,            0.011669,            0.017885,            0.004486,            0.004486,            0.057486
                  24,            0.058079,            0.020471,            0.029196,             0.48795,             0.99707,             0.57163,             0.24418,            0.033938,            0.012457,            0.017913,           0.0046672,           0.0046672,            0.055667
                  25,            0.056728,            0.022502,             0.02509,             0.46523,                   1,             0.56875,             0.33154,            0.027671,            0.012174,            0.017644,           0.0048475,           0.0048475,            0.053848
                  26,            0.059435,            0.021423,            0.025759,             0.24466,             0.56614,             0.20332,            0.030376,            0.066147,            0.011046,            0.017859,           0.0050272,           0.0050272,            0.052027
                  27,            0.069851,            0.014407,            0.020483,             0.24466,             0.56614,             0.20332,            0.030376,            0.066147,            0.011046,            0.017859,            0.005206,            0.005206,            0.050206
                  28,            0.087303,            0.016346,            0.027123,             0.24726,             0.56667,             0.19813,            0.031244,            0.066241,            0.010659,            0.017817,            0.005384,            0.005384,            0.048384
                  29,            0.080019,             0.01655,            0.026606,             0.53176,             0.63333,             0.53444,             0.10428,            0.050342,            0.010611,            0.016652,           0.0055612,           0.0055612,            0.046561
                  30,            0.062077,            0.018713,            0.029038,             0.53176,             0.63333,             0.53444,             0.10428,            0.050342,            0.010611,            0.016652,           0.0057377,           0.0057377,            0.044738
                  31,            0.060867,            0.020544,            0.026733,             0.71668,             0.63296,             0.60809,             0.17062,            0.041229,            0.010894,            0.016243,           0.0059133,           0.0059133,            0.042913
                  32,             0.06638,            0.019842,            0.025511,             0.82341,             0.63333,              0.7459,             0.29594,            0.045905,           0.0093824,            0.015702,           0.0060882,           0.0060882,            0.041088
                  33,            0.045864,            0.021081,            0.022904,             0.82341,             0.63333,              0.7459,             0.29594,            0.045905,           0.0093824,            0.015702,           0.0062622,           0.0062622,            0.039262
                  34,            0.049338,            0.022196,            0.027259,             0.55603,                   1,             0.64667,             0.25047,            0.034364,           0.0094823,            0.015589,           0.0064355,           0.0064355,            0.037435
                  35,            0.053006,            0.020836,            0.026463,             0.41715,             0.83333,              0.5447,             0.15685,            0.036584,             0.00832,            0.015577,            0.006608,            0.006608,            0.035608
                  36,             0.05651,            0.021148,            0.025265,             0.41715,             0.83333,              0.5447,             0.15685,            0.036584,             0.00832,            0.015577,           0.0067797,           0.0067797,             0.03378
                  37,             0.05378,            0.020487,            0.029246,             0.66525,             0.80658,             0.66333,             0.21719,             0.03613,           0.0080987,            0.015352,           0.0069505,           0.0069505,            0.031951
                  38,            0.050643,            0.021087,            0.021289,             0.32901,             0.56667,             0.46406,            0.068855,            0.035728,           0.0080831,            0.015195,           0.0071207,           0.0071207,            0.030121
                  39,            0.059953,            0.018417,            0.027276,             0.32901,             0.56667,             0.46406,            0.068855,            0.035728,           0.0080831,            0.015195,             0.00729,             0.00729,             0.02829
                  40,            0.051927,            0.018251,            0.025486,             0.54194,             0.83333,             0.64667,             0.12125,            0.044884,           0.0077833,            0.014908,           0.0074585,           0.0074585,            0.026458
                  41,             0.06236,            0.021609,            0.023532,             0.24953,             0.66575,             0.27367,            0.053169,            0.039824,           0.0075404,            0.015134,           0.0076262,           0.0076262,            0.024626
                  42,            0.051577,            0.015765,            0.018744,             0.24953,             0.66575,             0.27367,            0.053169,            0.039824,           0.0075404,            0.015134,           0.0077931,           0.0077931,            0.022793
                  43,            0.052538,            0.015333,            0.020986,             0.47934,             0.46667,             0.46942,            0.066353,            0.054128,           0.0066543,            0.015296,           0.0079593,           0.0079593,            0.020959
                  44,            0.067399,            0.018006,              0.0277,             0.47934,             0.46667,             0.46942,            0.066353,            0.054128,           0.0066543,            0.015296,           0.0081246,           0.0081246,            0.019125
                  45,            0.060966,            0.015706,             0.03336,             0.18187,             0.65381,             0.20309,             0.11137,            0.051542,           0.0070818,            0.015585,           0.0082892,           0.0082892,            0.017289
                  46,            0.063584,            0.017272,            0.022069,             0.18187,             0.65381,             0.20309,             0.11137,            0.051542,           0.0070818,            0.015585,            0.008453,            0.008453,            0.015453
                  47,             0.05038,             0.01618,            0.023128,             0.51997,             0.83333,             0.72018,             0.44609,            0.039535,           0.0063889,            0.015679,           0.0086159,           0.0086159,            0.013616
                  48,            0.060782,            0.016208,            0.024832,             0.51997,             0.83333,             0.72018,             0.44609,            0.039535,           0.0063889,            0.015679,           0.0087781,           0.0087781,            0.011778
                  49,            0.043904,            0.016769,             0.01867,              0.3608,             0.56667,             0.53578,             0.12227,            0.041098,            0.005964,            0.015331,           0.0089395,           0.0089395,           0.0099395
                  50,              0.0527,            0.018908,            0.025955,              0.3608,             0.56667,             0.53578,             0.12227,            0.041098,            0.005964,            0.015331,             0.00901,             0.00901,             0.00901
                  51,            0.053177,            0.017415,            0.026131,             0.24532,             0.46667,             0.25167,             0.10847,            0.046609,           0.0054803,            0.015022,             0.00901,             0.00901,             0.00901
                  52,            0.060591,            0.015837,            0.026067,             0.24532,             0.46667,             0.25167,             0.10847,            0.046609,           0.0054803,            0.015022,           0.0089902,           0.0089902,           0.0089902
                  53,            0.054036,            0.016815,            0.022492,             0.20591,              0.4599,             0.20928,            0.046183,            0.047599,           0.0051608,            0.013834,           0.0089704,           0.0089704,           0.0089704
                  54,            0.043198,            0.016943,            0.026522,             0.20591,              0.4599,             0.20928,            0.046183,            0.047599,           0.0051608,            0.013834,           0.0089506,           0.0089506,           0.0089506
                  55,            0.053766,            0.018462,            0.025909,              0.9982,             0.46667,             0.73488,             0.39437,            0.028683,           0.0061541,            0.011842,           0.0089308,           0.0089308,           0.0089308
                  56,            0.045855,            0.014496,             0.01956,              0.9982,             0.46667,             0.73488,             0.39437,            0.028683,           0.0061541,            0.011842,            0.008911,            0.008911,            0.008911
                  57,            0.059348,             0.01754,            0.022994,             0.70146,             0.83333,             0.88043,             0.27933,            0.031308,           0.0054817,           0.0097469,           0.0088912,           0.0088912,           0.0088912
                  58,            0.049482,             0.01956,            0.023758,             0.70146,             0.83333,             0.88043,             0.27933,            0.031308,           0.0054817,           0.0097469,           0.0088714,           0.0088714,           0.0088714
                  59,            0.051147,            0.016749,            0.022982,             0.77705,             0.99358,             0.77389,             0.31151,            0.050333,           0.0052596,           0.0078361,           0.0088516,           0.0088516,           0.0088516
                  60,            0.051419,            0.016478,            0.026107,             0.77705,             0.99358,             0.77389,             0.31151,            0.050333,           0.0052596,           0.0078361,           0.0088318,           0.0088318,           0.0088318
                  61,            0.046637,            0.016278,              0.0243,                   1,             0.99494,               0.995,             0.51447,            0.028401,           0.0053359,           0.0070256,            0.008812,            0.008812,            0.008812
                  62,            0.046206,            0.015726,             0.02113,                   1,             0.99494,               0.995,             0.51447,            0.028401,           0.0053359,           0.0070256,           0.0087922,           0.0087922,           0.0087922
                  63,            0.048941,            0.018862,            0.023361,              0.8567,             0.98705,             0.96643,             0.42513,            0.027365,           0.0048184,           0.0065197,           0.0087724,           0.0087724,           0.0087724
                  64,            0.041709,            0.016914,            0.023978,              0.8567,             0.98705,             0.96643,             0.42513,            0.027365,           0.0048184,           0.0065197,           0.0087526,           0.0087526,           0.0087526
                  65,            0.052096,            0.016391,            0.019761,             0.99994,             0.99409,               0.995,             0.63079,            0.020075,           0.0050314,           0.0059904,           0.0087328,           0.0087328,           0.0087328
                  66,            0.044459,            0.018136,            0.021586,             0.99994,             0.99409,               0.995,             0.63079,            0.020075,           0.0050314,           0.0059904,            0.008713,            0.008713,            0.008713
                  67,            0.046214,            0.015624,            0.022628,             0.60825,             0.82922,             0.77036,             0.19632,            0.036453,           0.0053005,           0.0053019,           0.0086932,           0.0086932,           0.0086932
                  68,            0.052537,            0.012848,            0.022194,             0.60825,             0.82922,             0.77036,             0.19632,            0.036453,           0.0053005,           0.0053019,           0.0086734,           0.0086734,           0.0086734
                  69,            0.050346,            0.012767,            0.020249,             0.99781,             0.82822,             0.84768,              0.2646,             0.04179,           0.0058406,           0.0057817,           0.0086536,           0.0086536,           0.0086536
                  70,            0.045007,            0.012668,            0.020725,             0.99781,             0.82822,             0.84768,              0.2646,             0.04179,           0.0058406,           0.0057817,           0.0086338,           0.0086338,           0.0086338
                  71,            0.052582,            0.014434,            0.020203,             0.92439,             0.73099,             0.87125,             0.24846,            0.040058,           0.0062352,           0.0056191,            0.008614,            0.008614,            0.008614
                  72,            0.059235,            0.013169,             0.01883,             0.92439,             0.73099,             0.87125,             0.24846,            0.040058,           0.0062352,           0.0056191,           0.0085942,           0.0085942,           0.0085942
                  73,            0.043596,            0.014466,            0.018775,             0.76697,             0.73333,             0.78712,             0.32098,             0.03464,           0.0052009,           0.0041526,           0.0085744,           0.0085744,           0.0085744
                  74,            0.046465,            0.011659,            0.022242,             0.76697,             0.73333,             0.78712,             0.32098,             0.03464,           0.0052009,           0.0041526,           0.0085546,           0.0085546,           0.0085546
                  75,            0.049947,            0.014917,            0.017621,             0.98938,              0.8327,             0.90071,             0.54326,            0.025615,            0.004935,           0.0037625,           0.0085348,           0.0085348,           0.0085348
                  76,            0.043735,            0.012251,            0.022919,             0.98938,              0.8327,             0.90071,             0.54326,            0.025615,            0.004935,           0.0037625,            0.008515,            0.008515,            0.008515
                  77,            0.042283,            0.015841,            0.024677,             0.79562,             0.83325,             0.83202,              0.3693,            0.030007,            0.004731,           0.0035622,           0.0084952,           0.0084952,           0.0084952
                  78,            0.039938,            0.013481,            0.018675,             0.79562,             0.83325,             0.83202,              0.3693,            0.030007,            0.004731,           0.0035622,           0.0084754,           0.0084754,           0.0084754
                  79,            0.040136,             0.01537,            0.019885,             0.55799,             0.83267,             0.55719,             0.21723,            0.043948,           0.0044647,           0.0030655,           0.0084556,           0.0084556,           0.0084556
                  80,            0.045751,            0.012753,            0.020955,             0.55799,             0.83267,             0.55719,             0.21723,            0.043948,           0.0044647,           0.0030655,           0.0084358,           0.0084358,           0.0084358
                  81,            0.050921,            0.012097,             0.01567,             0.71596,             0.99966,             0.90214,             0.37135,            0.033511,           0.0041423,            0.002642,            0.008416,            0.008416,            0.008416
                  82,            0.039768,             0.01207,            0.016217,             0.71596,             0.99966,             0.90214,             0.37135,            0.033511,           0.0041423,            0.002642,           0.0083962,           0.0083962,           0.0083962
                  83,             0.04337,            0.012512,            0.016706,              0.9811,             0.83333,               0.929,             0.36827,            0.023879,           0.0039363,           0.0024604,           0.0083764,           0.0083764,           0.0083764
                  84,            0.032281,            0.012442,            0.013066,              0.9811,             0.83333,               0.929,             0.36827,            0.023879,           0.0039363,           0.0024604,           0.0083566,           0.0083566,           0.0083566
                  85,            0.049627,            0.013533,            0.017539,             0.98513,             0.83274,               0.929,             0.55244,            0.027683,           0.0040334,           0.0021065,           0.0083368,           0.0083368,           0.0083368
                  86,            0.040735,            0.012892,            0.017672,             0.98513,             0.83274,               0.929,             0.55244,            0.027683,           0.0040334,           0.0021065,            0.008317,            0.008317,            0.008317
                  87,            0.040681,            0.012993,            0.018413,             0.96939,             0.83166,             0.95375,             0.28652,            0.033652,           0.0039258,           0.0020974,           0.0082972,           0.0082972,           0.0082972
                  88,            0.047613,            0.013569,            0.017973,             0.96939,             0.83166,             0.95375,             0.28652,            0.033652,           0.0039258,           0.0020974,           0.0082774,           0.0082774,           0.0082774
                  89,            0.048619,            0.013171,            0.016207,             0.99857,             0.88601,               0.995,             0.46538,            0.026807,           0.0037718,           0.0020018,           0.0082576,           0.0082576,           0.0082576
                  90,            0.046827,             0.01185,            0.017573,             0.99857,             0.88601,               0.995,             0.46538,            0.026807,           0.0037718,           0.0020018,           0.0082378,           0.0082378,           0.0082378
                  91,            0.042312,            0.013166,            0.014778,             0.98331,             0.99854,               0.995,             0.60206,            0.022242,           0.0033728,           0.0019105,            0.008218,            0.008218,            0.008218
                  92,            0.041701,            0.011207,            0.017635,             0.98331,             0.99854,               0.995,             0.60206,            0.022242,           0.0033728,           0.0019105,           0.0081982,           0.0081982,           0.0081982
                  93,             0.04514,            0.012528,            0.015896,             0.60391,             0.99842,              0.8165,             0.29244,            0.030101,           0.0035492,           0.0017301,           0.0081784,           0.0081784,           0.0081784
                  94,            0.049174,            0.012055,            0.018106,             0.60391,             0.99842,              0.8165,             0.29244,            0.030101,           0.0035492,           0.0017301,           0.0081586,           0.0081586,           0.0081586
                  95,            0.039129,            0.013534,            0.015822,             0.98353,                   1,               0.995,             0.46452,            0.027038,            0.003247,           0.0018413,           0.0081388,           0.0081388,           0.0081388
                  96,            0.035857,           0.0087489,           0.0096417,             0.98353,                   1,               0.995,             0.46452,            0.027038,            0.003247,           0.0018413,            0.008119,            0.008119,            0.008119
                  97,            0.044539,            0.011689,            0.019292,             0.60367,                   1,             0.74625,             0.34571,             0.03006,           0.0034016,           0.0021015,           0.0080992,           0.0080992,           0.0080992
                  98,            0.040495,           0.0098388,            0.016196,             0.60367,                   1,             0.74625,             0.34571,             0.03006,           0.0034016,           0.0021015,           0.0080794,           0.0080794,           0.0080794
                  99,            0.045374,            0.011444,            0.021368,              0.9065,                   1,               0.995,             0.74271,            0.019069,           0.0031378,           0.0021851,           0.0080596,           0.0080596,           0.0080596
                 100,            0.038556,            0.013924,            0.016716,              0.9065,                   1,               0.995,             0.74271,            0.019069,           0.0031378,           0.0021851,           0.0080398,           0.0080398,           0.0080398
                 101,            0.037703,            0.012048,            0.016384,             0.93163,             0.83156,             0.95375,             0.44377,            0.022785,           0.0033801,           0.0022472,             0.00802,             0.00802,             0.00802
                 102,            0.036773,            0.012013,            0.015355,             0.93163,             0.83156,             0.95375,             0.44377,            0.022785,           0.0033801,           0.0022472,           0.0080002,           0.0080002,           0.0080002
                 103,            0.036669,           0.0095582,            0.013642,              0.9689,                   1,               0.995,             0.30029,            0.029764,           0.0031725,           0.0024882,           0.0079804,           0.0079804,           0.0079804
                 104,            0.037883,           0.0089901,           0.0071746,              0.9689,                   1,               0.995,             0.30029,            0.029764,           0.0031725,           0.0024882,           0.0079606,           0.0079606,           0.0079606
                 105,            0.051941,            0.010352,             0.01661,             0.77612,                   1,              0.9575,             0.69314,            0.023707,           0.0033583,           0.0022353,           0.0079408,           0.0079408,           0.0079408
                 106,            0.037603,            0.011266,             0.01348,             0.77612,                   1,              0.9575,             0.69314,            0.023707,           0.0033583,           0.0022353,            0.007921,            0.007921,            0.007921
                 107,            0.041503,            0.010876,            0.014996,             0.98996,                   1,               0.995,             0.65638,            0.015898,           0.0030992,           0.0023572,           0.0079012,           0.0079012,           0.0079012
                 108,            0.048089,             0.01161,            0.014801,             0.98996,                   1,               0.995,             0.65638,            0.015898,           0.0030992,           0.0023572,           0.0078814,           0.0078814,           0.0078814
                 109,            0.038607,            0.010232,            0.013891,             0.88413,                   1,             0.96167,             0.58057,            0.022192,           0.0034061,            0.002355,           0.0078616,           0.0078616,           0.0078616
                 110,            0.041613,            0.010393,            0.014277,             0.88413,                   1,             0.96167,             0.58057,            0.022192,           0.0034061,            0.002355,           0.0078418,           0.0078418,           0.0078418
